date,revenue
2024-04-01,59718
2024-04-02,43301
2024-04-03,57325
2024-04-04,98579
2024-04-05,95644
2024-04-06,59438
2024-04-07,81155
2024-04-08,77350
2024-04-09,72447
2024-04-10,53746
2024-04-11,43131
2024-04-12,91784
2024-04-13,89686
2024-04-14,36915
2024-04-15,31175
2024-04-16,39371
2024-04-17,45033
2024-04-18,45969
2024-04-19,80333
2024-04-20,33326
2024-04-21,75432
2024-04-22,75019
2024-04-23,86348
2024-04-24,94352
2024-04-25,57953
2024-04-26,97512
2024-04-27,26504
2024-04-28,40014
2024-04-29,95381
2024-04-30,59973
