date,revenue
2024-12-01,31658
2024-12-02,37097
2024-12-03,80518
2024-12-04,61265
2024-12-05,30778
2024-12-06,25464
2024-12-07,68719
2024-12-08,42146
2024-12-09,59335
2024-12-10,46178
2024-12-11,82912
2024-12-12,97309
2024-12-13,81057
2024-12-14,98519
2024-12-15,26267
2024-12-16,39663
2024-12-17,34862
2024-12-18,44536
2024-12-19,96511
2024-12-20,29722
2024-12-21,73393
2024-12-22,97420
2024-12-23,44410
2024-12-24,81333
2024-12-25,41704
2024-12-26,30482
2024-12-27,65404
2024-12-28,72795
2024-12-29,30229
2024-12-30,71898
2024-12-31,52535
