date,revenue
2024-02-01,69118
2024-02-02,38396
2024-02-03,37156
2024-02-04,74797
2024-02-05,37676
2024-02-06,72052
2024-02-07,70082
2024-02-08,59671
2024-02-09,30695
2024-02-10,85217
2024-02-11,95284
2024-02-12,41361
2024-02-13,74615
2024-02-14,35328
2024-02-15,97357
2024-02-16,63427
2024-02-17,72400
2024-02-18,50203
2024-02-19,34116
2024-02-20,31006
2024-02-21,54871
2024-02-22,62930
2024-02-23,35458
2024-02-24,55512
2024-02-25,38238
2024-02-26,74823
2024-02-27,61434
2024-02-28,84429
2024-02-29,72819
