date,revenue
2024-01-01,39592
2024-01-02,28278
2024-01-03,61048
2024-01-04,57098
2024-01-05,54256
2024-01-06,43289
2024-01-07,38434
2024-01-08,96482
2024-01-09,36395
2024-01-10,80302
2024-01-11,29165
2024-01-12,28905
2024-01-13,37280
2024-01-14,53657
2024-01-15,55495
2024-01-16,91237
2024-01-17,28478
2024-01-18,98563
2024-01-19,51062
2024-01-20,96426
2024-01-21,79987
2024-01-22,53893
2024-01-23,83878
2024-01-24,61463
2024-01-25,25851
2024-01-26,45926
2024-01-27,80392
2024-01-28,69597
2024-01-29,61421
2024-01-30,45379
2024-01-31,53221
