date,revenue
2024-07-01,53864
2024-07-02,25942
2024-07-03,34305
2024-07-04,32716
2024-07-05,55007
2024-07-06,33834
2024-07-07,29117
2024-07-08,68309
2024-07-09,34287
2024-07-10,92391
2024-07-11,56195
2024-07-12,61500
2024-07-13,88624
2024-07-14,53080
2024-07-15,95678
2024-07-16,42342
2024-07-17,99847
2024-07-18,86953
2024-07-19,56850
2024-07-20,86993
2024-07-21,78354
2024-07-22,49957
2024-07-23,37363
2024-07-24,37704
2024-07-25,81498
2024-07-26,71438
2024-07-27,80519
2024-07-28,78883
2024-07-29,86213
2024-07-30,32100
2024-07-31,37899
