date,revenue
2024-06-01,35322
2024-06-02,36226
2024-06-03,88699
2024-06-04,34071
2024-06-05,94822
2024-06-06,41483
2024-06-07,41828
2024-06-08,87296
2024-06-09,97063
2024-06-10,46643
2024-06-11,59741
2024-06-12,94163
2024-06-13,80461
2024-06-14,52760
2024-06-15,95686
2024-06-16,51365
2024-06-17,65857
2024-06-18,77296
2024-06-19,73944
2024-06-20,82422
2024-06-21,92839
2024-06-22,84177
2024-06-23,40860
2024-06-24,57493
2024-06-25,54451
2024-06-26,33392
2024-06-27,69313
2024-06-28,27757
2024-06-29,97603
2024-06-30,55161
