date,revenue
2024-03-01,46319
2024-03-02,73520
2024-03-03,71566
2024-03-04,52460
2024-03-05,59993
2024-03-06,34358
2024-03-07,47431
2024-03-08,95010
2024-03-09,57087
2024-03-10,46417
2024-03-11,85589
2024-03-12,74735
2024-03-13,60382
2024-03-14,98000
2024-03-15,53785
2024-03-16,67504
2024-03-17,32331
2024-03-18,55021
2024-03-19,29207
2024-03-20,66347
2024-03-21,77581
2024-03-22,60093
2024-03-23,33675
2024-03-24,52653
2024-03-25,99341
2024-03-26,66245
2024-03-27,52869
2024-03-28,90435
2024-03-29,76856
2024-03-30,85142
2024-03-31,43726
