date,revenue
2024-11-01,42361
2024-11-02,70745
2024-11-03,34016
2024-11-04,57018
2024-11-05,73434
2024-11-06,62353
2024-11-07,45676
2024-11-08,82433
2024-11-09,96200
2024-11-10,64651
2024-11-11,94329
2024-11-12,26025
2024-11-13,97692
2024-11-14,64240
2024-11-15,38577
2024-11-16,42601
2024-11-17,59664
2024-11-18,40129
2024-11-19,39029
2024-11-20,97512
2024-11-21,45374
2024-11-22,60697
2024-11-23,61930
2024-11-24,52607
2024-11-25,69942
2024-11-26,51685
2024-11-27,59600
2024-11-28,91244
2024-11-29,89032
2024-11-30,57914
