date,revenue
2024-09-01,46579
2024-09-02,74672
2024-09-03,25282
2024-09-04,76173
2024-09-05,59760
2024-09-06,84638
2024-09-07,62388
2024-09-08,80444
2024-09-09,97845
2024-09-10,88788
2024-09-11,45289
2024-09-12,49890
2024-09-13,63890
2024-09-14,53534
2024-09-15,32665
2024-09-16,96066
2024-09-17,32989
2024-09-18,66104
2024-09-19,32492
2024-09-20,31572
2024-09-21,87493
2024-09-22,90909
2024-09-23,94615
2024-09-24,45635
2024-09-25,32455
2024-09-26,91562
2024-09-27,35500
2024-09-28,49356
2024-09-29,33981
2024-09-30,33907
